CCAA,Provincia,Tipo,Universidad,Modalidad,Centro,Título,Idioma extranjero,Nota
Comunidad de Madrid,Madrid,Privada,CUNEF Universidad,Presencial,Escuela Politécnica Superior,Grado en Inteligencia Artificial,No,---
Comunidad de Madrid,Madrid,Privada,Universidad Antonio de Nebrija,Presencial,Facultad de Comunicación y Artes,Grado en Publicidad y Relaciones Públicas,No,---
La Rioja,La Rioja,Privada,Universidad Internacional de la Rioja,Semi/No Presencial,Facultad de Economía y Empresa,Grado en Finanzas y Contabilidad,No,---
Cataluña,Barcelona,Pública,Universidad Autónoma de Barcelona,Presencial,Universidad Autónoma de Barcelona,Doble Grado en Ingeniería de Sistemas de Telecomunicación / Grado en Ingeniería Informática,No,---
Comunidad de Madrid,Madrid,Privada,Universidad Camilo José Cela,Varias modalidades,Escuela Politécnica Superior de Tecnología y Ciencia,Grado en Diseño y Desarrollo de Videojuegos y Entornos Virtuales,No,---
Comunidad de Madrid,Madrid,Privada,Universidad Camilo José Cela,Varias modalidades,ESNE-Escuela Universitaria de Diseño,Grado en Diseño y Desarrollo de Videojuegos y Entornos Virtuales,No,---
Navarra,Navarra,Privada,Universidad de Navarra,Presencial,Facultad de Filosofía y Letras,Doble Grado en Educación Primaria / Grado en Pedagogía,No,---
Andalucía,Sevilla,Privada,Universidad Loyola Andalucía,Presencial,"Facultad de Ciencias Sociales, Jurídicas y de la Educación (Sede de Sevilla)",Doble Grado en Administración y Dirección de Empresas / Grado en Relaciones Internacionales,No,---
Andalucía,Sevilla,Privada,Universidad Loyola Andalucía,Presencial,Facultad de Ciencias Económicas y Empresariales. (Sede de Sevilla),Doble Grado en Administración y Dirección de Empresas / Grado en Relaciones Internacionales,No,---
Andalucía,Córdoba,Privada,Universidad Loyola Andalucía,Presencial,"Facultad de Ciencias Sociales, Jurídicas y de la Educación (Sede de Córdoba)",Doble Grado en Administración y Dirección de Empresas / Grado en Relaciones Internacionales,No,---
Andalucía,Córdoba,Privada,Universidad Loyola Andalucía,Presencial,Facultad de Ciencias Económicas y Empresariales. (Sede de Córdoba),Doble Grado en Administración y Dirección de Empresas / Grado en Relaciones Internacionales,No,---
Comunitat Valenciana,Valencia,Privada,Universidad Internacional Valenciana,Semi/No Presencial,"Escuela Superior de Ingeniería, Ciencia y Tecnología",Grado en Matemáticas,No,---
Castilla y León,Segovia,Privada,IE Universidad,Presencial,"Facultad de Ciencias Humanas, Sociales y de Comunicación",Doble Grado en Derecho / Grado en Relaciones Internacionales,Sí,---
Comunidad de Madrid,Madrid,Privada,IE Universidad,Presencial,Centro de Estudios Superiores IE,Doble Grado en Derecho / Grado en Relaciones Internacionales,Sí,---
Navarra,Navarra,Privada,Universidad de Navarra,Presencial,Facultad de Ciencias Económicas y Empresariales,Grado en Administración y Dirección de Empresas / Bachelor in Business Administration (BBA),Sí,---
Aragón,Teruel,Pública,Universidad de Zaragoza,Presencial,Escuela Universitaria Politécnica,Doble Grado en Ingeniería Mecatrónica / Grado en Ingeniería de Organización Industrial (MecaIOI),No,---
Canarias,Las Palmas,Privada,Universidad Fernando Pessoa-Canarias (UFP-C),Presencial,Facultad de Ciencias de la Salud (FCS),Grado en Nutrición Humana y Dietética,No,---
Andalucía,Córdoba,Privada,Universidad Loyola Andalucía,Presencial,"Facultad de Ciencias Sociales, Jurídicas y de la Educación (Sede de Córdoba)",Doble Grado en Derecho / Grado en Criminología,No,---
Andalucía,Sevilla,Privada,Universidad Loyola Andalucía,Presencial,"Facultad de Ciencias Sociales, Jurídicas y de la Educación (Sede de Sevilla)",Doble Grado en Derecho / Grado en Criminología,No,---
Navarra,Navarra,Privada,Universidad de Navarra,Presencial,Facultad de Ciencias Económicas y Empresariales,Grado en Grado en Economía / Bachelor in Economics,Sí,---
Comunidad de Madrid,Madrid,Privada,Universidad Alfonso X El Sabio,Presencial,Facultad de Estudios Sociales,Doble Grado en Derecho / Grado en Relaciones Internacionales,No,---
Comunidad de Madrid,Madrid,Privada,Universidad San Pablo-CEU,Presencial,Facultad de Ciencias Económicas y Empresariales,Doble Grado en Inteligencia de los Negocios / Grado en Administración y Dirección de Empresas - Bachelor in Business Administration,Sí,---
Comunidad de Madrid,Madrid,Privada,Universidad Alfonso X El Sabio,Presencial,Facultad de Medicina,Grado en Biomedicina,No,---
Comunidad de Madrid,Madrid,Privada,Internacional Villanueva,Presencial,Facultad de Ciencias Sociales y Jurídicas,Doble Grado en Periodismo / Grado en Relaciones Internacionales,No,---
Comunidad de Madrid,Madrid,Pública,Universidad Rey Juan Carlos,Semi/No Presencial,Facultad de Ciencias Jurídicas y Sociales. Campus de Madrid,Doble Grado en Ciencia. Gestión e Ingeniería de Servicios / Grado en Ingeniería de Organización Industrial,No,---
La Rioja,La Rioja,Privada,Universidad Internacional de la Rioja,Semi/No Presencial,Facultad de Economía y Empresa,Grado en Inteligencia y Analítica de Negocio,No,---
Comunidad de Madrid,Madrid,Privada,Universidad Antonio de Nebrija,Varias modalidades,Facultad de Lenguas y Educación,Grado en Educación Social,No,---
Comunidad de Madrid,Madrid,Pública,Universidad Rey Juan Carlos,Presencial,Facultad de Ciencias Jurídicas y Sociales. Campus de Aranjuez,Doble Grado en Diseño y Gestión de Moda / Grado en Bellas Artes,No,---
Cataluña,Barcelona,Pública,Universidad Pompeu Fabra,Presencial,Centro Universitario Tecnocampus,Grado en Ingeniería de Organización Industrial,No,---
Comunidad de Madrid,Madrid,Privada,Universidad Pontificia Comillas,Presencial,Facultad de Ciencias Económicas y Empresariales (ICADE),Doble Grado en Administración y Dirección de Empresas / Grado en Análisis de Negocios/ Business Analytics,No,---
Castilla y León,Salamanca,Privada,Universidad Pontificia de Salamanca,Presencial,Facultad de Comunicación,Doble Grado en Publicidad y Relaciones Públicas / Grado en Marketing y Comunicación,No,---
Comunidad de Madrid,Madrid,Privada,Universidad San Pablo-CEU,Presencial,Facultad de Humanidades y Ciencias de la Comunicación,Doble Grado en Comunicación Digital / Grado en Comunicación Audiovisual (Plan 2019),Sí,---
Comunitat Valenciana,Valencia,Privada,Universidad Católica de Valencia San Vicente Mártir,Presencial,"Facultad de Ciencias Jurídicas, Económicas y Sociales",Grado en Multimedia y Artes Digitales,No,---
Comunidad de Madrid,Madrid,Privada,Universidad Europea de Madrid,Varias modalidades,"Escuela de Arquitectura, Ingeniería y Diseño. Campus Villaviciosa y Alcobendas",Grado en Ingeniería de la Ciberseguridad,Sí,---
Andalucía,Granada,Pública,Universidad de Granada,Presencial,"Escuela Técnica Superior de Ingeniería de Caminos, Canales y Puertos",Doble Grado en Ingeniería Civil (Plan nuevo) / Grado en Administración y Dirección de Empresas,No,---
Andalucía,Granada,Pública,Universidad de Granada,Presencial,Facultad de Ciencias Económicas y Empresariales,Doble Grado en Ingeniería Civil (Plan nuevo) / Grado en Administración y Dirección de Empresas,No,---
Comunidad de Madrid,Madrid,Privada,Universidad Pontificia Comillas,Presencial,Facultad de Ciencias Humanas y Sociales,Grado en Relaciones Internacionales,Sí,---
País Vasco,Vizcaya,Privada,Universidad de Deusto,Presencial,Universidad de Deusto,Doble Grado en Derecho / Grado en Comunicación,No,---
Comunidad de Madrid,Madrid,Privada,Universidad Internacional de la Empresa,Presencial,Facultad de Ciencias Sociales Aplicadas y de la Comunicación,Grado en Animación,No,---
Aragón,Zaragoza,Privada,Universidad San Jorge,Presencial,Escuela de Arquitectura y Tecnología,Grado en Diseño y Desarrollo de Videojuegos,No,---
Cataluña,Barcelona,Pública,Universidad Pompeu Fabra,Varias modalidades,Centro Universitario Tecnocampus,Grado en Ingeniería Electrónica Industrial y Automática,No,---
Cataluña,Barcelona,Pública,Universidad Politécnica de Catalunya,Presencial,Escuela de Ingeniería Agroalimentaria y de Biosistemas de Barcelona,Doble Grado en Ingeniería de Sistemas Biológicos / Grado en Ingeniería Alimentaria,No,---
Baleares,Baleares,Privada,Universidad Pontificia Comillas,Presencial,Centro de Enseñanza Superior Alberta Giménez,Grado en Periodismo,No,---
Comunidad de Madrid,Madrid,Privada,Universidad Camilo José Cela,Presencial,Universidad Camilo José Cela,Doble Grado en Periodismo / Grado en Protocolo y Organización de Eventos,No,---
Comunitat Valenciana,Valencia,Privada,Universidad Internacional Valenciana,Semi/No Presencial,Facultad de Ciencias Sociales y Jurídicas,Grado en Derecho,No,---
Comunidad de Madrid,Madrid,Privada,Universidad Antonio de Nebrija,Presencial,Facultad de Ciencias Sociales,Doble Grado en Relaciones Internacionales / Grado en Lenguas Modernas,Sí,---
Comunidad de Madrid,Madrid,Privada,Universidad San Pablo-CEU,Presencial,Facultad de Humanidades y Ciencias de la Comunicación,Doble Grado en Comunicación Audiovisual / Grado en Publicidad y Relaciones Públicas (Plan 2019),Sí,---
Navarra,Navarra,Privada,Universidad de Navarra,Presencial,Facultad de Derecho,Grado en Derecho,No,---
Cataluña,Barcelona,Pública,Universidad Politécnica de Catalunya,Varias modalidades,Centro Universitario Euncet,Grado en Marketing y Comunicación Digital,No,---
Cataluña,Barcelona,Pública,Universidad Politécnica de Catalunya,Varias modalidades,Centro Universitario EAE,Grado en Marketing y Comunicación Digital,No,---
Comunitat Valenciana,Valencia,Pública,Universitat de València (Estudi General),Presencial,Facultad de Economía,Doble Grado en Administración y Dirección de Empresas / Grado en Derecho,No,---
Comunidad de Madrid,Madrid,Privada,Universidad Europea de Madrid,Varias modalidades,"Facultad de Medicina, Salud y Deportes. Campus Villaviciosa y Alcobendas",Grado en Ciencias de la Actividad Física y del Deporte,Sí,---
País Vasco,Guipúzcoa,Privada,Mondragon Unibertsitatea,Presencial,Escuela Politécnica Superior,Grado en Ingeniería Biomédica,No,---
Comunidad de Madrid,Madrid,Privada,Universidad Alfonso X El Sabio,Presencial,Facultad de Medicina,Grado en Medicina,No,---
Cataluña,Barcelona,Pública,Universidad de Barcelona,Presencial,Facultad de Derecho,Doble Grado en Derecho / Grado en Relaciones laborales,No,---
Cataluña,Lleida,Pública,Universidad de Lleida,Presencial,Universidad de Lleida,Doble Grado en Administración y Dirección de Empresas / Grado en Derecho,No,---
Comunidad de Madrid,Madrid,Privada,Universidad Europea de Madrid,Varias modalidades,"Escuela de Arquitectura, Ingeniería y Diseño. Campus Villaviciosa y Alcobendas",Doble Grado en Fundamentos de Arquitectura / Grado en Diseño de Interiores,No,---
Cataluña,Barcelona,Privada,Universidad Ramon Llull,Presencial,Escuela Técnica Superior de Arquitectura La Salle,Grado en Estudios de Arquitectura,No,---
País Vasco,Álava,Privada,Universidad Euneiz,Presencial,Facultad de Ciencias de la Salud,Grado en Fisioterapia,No,---
Comunidad de Madrid,Madrid,Privada,Universidad a Distancia de Madrid,Semi/No Presencial,Facultad de Ciencias Sociales y Humanidades,Grado en Historia,No,---
Comunidad de Madrid,Madrid,Pública,Universidad Complutense de Madrid,Presencial,Facultad de Ciencias Políticas y Sociología,Doble Grado en Ciencias Políticas / Grado en Filosofía,No,---
Comunidad de Madrid,Madrid,Privada,Internacional Villanueva,Presencial,Facultad de Ciencias Sociales y Jurídicas,Doble Grado en Administración y Dirección de Empresas / Grado en Relaciones Internacionales,No,---
Comunidad de Madrid,Madrid,Privada,ESIC Universidad,Presencial,Facultad de Ciencias Jurídicas y Sociales,Doble Grado en Administración y Dirección de Empresas / Grado en Marketing,Sí,---
País Vasco,Guipúzcoa,Privada,Mondragon Unibertsitatea,Presencial,Escuela Politécnica Superior,Grado en Ingeniería Física aplicada a la Industria,No,---
Comunidad de Madrid,Madrid,Privada,Universidad Internacional de la Empresa,Varias modalidades,Facultad de Ciencias Sociales Aplicadas y de la Comunicación,Grado en Periodismo. Comunicación Digital y Nuevos Medios,Sí,---
Cataluña,Barcelona,Privada,Universidad Ramon Llull,Presencial,La Salle Digital Engineering School/Escola Tècnica Superior d´Enginyeria La Salle/Escuela Técnica Superior de Ingeniería La Salle,Grado en Ingeniería de Sistemas Audiovisuales,No,---
Canarias,Las Palmas,Privada,Universidad Fernando Pessoa-Canarias (UFP-C),Presencial,Facultad de Ciencias de la Salud (FCS),Grado en Odontología,No,---
Cataluña,Girona,Pública,Universidad de Girona,Presencial,Universidad de Girona,Doble Grado en Criminología / Grado en Derecho,No,---
Comunidad de Madrid,Madrid,Privada,Universidad Antonio de Nebrija,Presencial,Universidad Antonio de Nebrija,Doble Grado en Bellas Artes / Grado en Diseño de interiores,No,---
Comunidad de Madrid,Madrid,Privada,Universidad San Pablo-CEU,Presencial,Facultad de Humanidades y Ciencias de la Comunicación,Doble Grado en Humanidades / Grado en Comunicación Audiovisual,No,---
Comunidad de Madrid,Madrid,Privada,Universidad Alfonso X El Sabio,Presencial,"Escuela de Ingeniería, Arquitectura y Diseño",Doble Grado en Ingeniería en Diseño Industrial y Desarrollo de Producto / Grado en Ingeniería Mecánica,No,---
Comunidad de Madrid,Madrid,Pública,Universidad Rey Juan Carlos,Presencial,Facultad de Ciencias Jurídicas y Sociales. Campus de Fuenlabrada,Doble Grado en Filosofía / Grado en Ciencia Política y Gestión Pública / Grado en Economía,No,---
Comunidad de Madrid,Madrid,Privada,Universidad a Distancia de Madrid,Semi/No Presencial,Facultad de Ciencias Técnicas e Ingeniería,Grado en Ingeniería Informática,No,---
Comunidad de Madrid,Madrid,Privada,Universidad San Pablo-CEU,Presencial,Facultad de Humanidades y Ciencias de la Comunicación,Doble Grado en Humanidades / Grado en Periodismo (Plan 2019),No,---
Comunidad de Madrid,Madrid,Privada,Universidad Alfonso X El Sabio,Presencial,Instituto de Ciencias de la Educación,Doble Grado en Ciencias de la Actividad Física y del Deporte / Grado en Fisioterapia,No,---
Castilla y León,Ávila,Pública,Universidad de Salamanca,Presencial,Escuela Politécnica Superior de Ávila,Grado en Ingeniería Geomática y Topografía,No,---
Castilla y León,Salamanca,Pública,Universidad de Salamanca,Presencial,Facultad de Biología,Grado en Biotecnología,No,---
Canarias,Santa Cruz,Pública,Universidad de La Laguna,Presencial,Facultad de Humanidades,Grado en Conservación y Restauración de Bienes Culturales,No,---
Andalucía,Sevilla,Pública,Universidad de Sevilla,Presencial,Facultad de Ciencias de la Educación,Grado en Ciencias de la Actividad Física y del Deporte,No,---
Andalucía,Sevilla,Pública,Universidad de Sevilla,Presencial,Centro de Estudios Universitarios Cardenal Spínola,Grado en Ciencias de la Actividad Física y del Deporte,No,---
Andalucía,Sevilla,Pública,Universidad de Sevilla,Presencial,Centro Universitario de Osuna,Grado en Ciencias de la Actividad Física y del Deporte,No,---
País Vasco,Vizcaya,Pública,Universidad del País Vasco/Euskal Herriko Unibertsitatea,Presencial,Facultad de Relaciones Laborales y Trabajo Social,Grado en Trabajo Social,No,---
Cataluña,Barcelona,Pública,Universidad Autónoma de Barcelona,Presencial,Facultad de Filosofía y Letras,Grado en Estudios de Inglés y Español,Sí,---
Comunitat Valenciana,Valencia,Pública,Universidad Politécnica de Valencia,Presencial,Escuela Politécnica Superior de Gandía,Grado en Comunicación Audiovisual,No,---
Comunidad de Madrid,Madrid,Pública,Universidad Nacional de Educación a Distancia,Semi/No Presencial,Facultad de Geografía e Historia,Grado en Historia del Arte,No,---
Cataluña,Barcelona,Pública,Universidad Politécnica de Catalunya,Presencial,Escuela Universitaria Politécnica de Mataró,Grado en Ingeniería Informática,No,---
Cataluña,Barcelona,Pública,Universidad Politécnica de Catalunya,Presencial,Escuela Politécnica Superior de Ingeniería de Manresa,Grado en Ingeniería Electrónica Industrial y Automática,No,---
Cataluña,Barcelona,Pública,Universidad Politécnica de Catalunya,Presencial,"Escuela Superior de Ingenierías Industrial, Aeroespacial y Audiovisual de Terrassa",Grado en Ingeniería Electrónica Industrial y Automática,No,---
Cataluña,Barcelona,Pública,Universidad Politécnica de Catalunya,Presencial,Escuela Politécnica Superior de Ingenieria de Vilanova i la Geltrú,Grado en Ingeniería Electrónica Industrial y Automática,No,---
Cataluña,Barcelona,Pública,Universidad Politécnica de Catalunya,Presencial,Escuela Politécnica Superior de Ingeniería de Manresa,Grado en Ingeniería de Recursos Minerales y su Reciclaje,No,---
Andalucía,Sevilla,Privada,Universidad Loyola Andalucía,Presencial,Facultad de Ciencias de la Salud (Sede de Sevilla),Grado en Biotecnología,No,---
Comunidad de Madrid,Madrid,Pública,Universidad Politécnica de Madrid,Presencial,Escuela Técnica Superior de Ingenieros Industriales,Grado en Ingeniería Electrónica Industrial y Automática,No,---
Comunidad de Madrid,Madrid,Pública,Universidad Politécnica de Madrid,Presencial,Escuela Técnica Superior de Ingenieros de Minas y Energía,Grado en Ingeniería Geológica,No,---
Comunidad de Madrid,Madrid,Pública,Universidad de Alcalá,Presencial,Centro Universitario de la Defensa,Grado en Medicina,No,---
Cataluña,Barcelona,Pública,Universidad Autónoma de Barcelona,Presencial,Escuela de Ingeniería,Grado en Ingeniería Electrónica de Telecomunicación,No,---
Comunidad de Madrid,Madrid,Pública,Universidad Complutense de Madrid,Presencial,Centro de Enseñanza Superior Real Centro Universitario Escorial-María Cristina,Grado en Derecho,No,---
Comunidad de Madrid,Madrid,Pública,Universidad Complutense de Madrid,Presencial,Centro Universitario de Estudios Financieros CUNEF,Grado en Derecho,No,---
Comunidad de Madrid,Madrid,Pública,Universidad Complutense de Madrid,Presencial,Centro de Enseñanza Superior Villanueva,Grado en Derecho,No,---
Cataluña,Barcelona,Pública,Universidad Autónoma de Barcelona,Presencial,Facultad de Biociencias,Grado en Ciencias,No,---
Comunidad de Madrid,Madrid,Pública,Universidad Rey Juan Carlos,Varias modalidades,Facultad de Ciencias de la Economía y de la Empresa. Campus de Aranjuez,Grado en Administración y Dirección de Empresas,No,---
Comunidad de Madrid,Madrid,Pública,Universidad Rey Juan Carlos,Presencial,Facultad de Ciencias Jurídicas y Políticas. Campus de Aranjuez,Grado en Trabajo Social,No,---
Comunidad de Madrid,Madrid,Pública,Universidad Rey Juan Carlos,Presencial,Facultad de Ciencias de la Educación y del Deporte y Estudios Interdisciplinares. Campus de Fuenlabrada,Grado en Lengua de Signos Española y Comunidad Sorda,No,---
Castilla-La Mancha,Ciudad Real,Pública,Universidad de Castilla-La Mancha,Presencial,Facultad de Letras,Grado en Geografía y Ordenación del Territorio,No,---
Baleares,Baleares,Pública,Universidad de las Illes Balears,Presencial,Facultad de Educación. Sede Universitaria de Menorca,Grado en Educación Primaria,No,---
Baleares,Baleares,Pública,Universidad de las Illes Balears,Presencial,Facultad de Educación. Sede Universitaria de Eivissa y Formentera,Grado en Educación Primaria,No,---
Baleares,Baleares,Pública,Universidad de las Illes Balears,Presencial,Facultad de Derecho. Sede Universitaria de Menorca,Grado en Derecho,No,---
Baleares,Baleares,Pública,Universidad de las Illes Balears,Presencial,Facultad de Derecho. Sede Universitaria de Eivissa y Formentera,Grado en Derecho,No,---
Canarias,Las Palmas,Pública,Universidad de Las Palmas de Gran Canaria,Presencial,Escuela de Ingenierías Industriales y Civiles,Grado en Ingeniería Geomática,No,---
Andalucía,Sevilla,Pública,Universidad de Sevilla,Presencial,Centro de Enfermería San Juan de Dios,Grado en Enfermería,No,---
Castilla y León,León,Pública,Universidad de León,Presencial,Escuela Superior y Técnica de Ingeniería Agraria. Extensión Ponferrada,Grado en Ingeniería Forestal y del Medio Natural,No,---
Castilla y León,Segovia,Pública,Universidad de Valladolid,Presencial,"Facultad de Ciencias Sociales, Jurídicas y de la Comunicación",Grado en Ciencias Gastronómicas,No,---
Castilla y León,Valladolid,Pública,Universidad de Valladolid,Presencial,Facultad de Medicina,Grado en Ciencias Gastronómicas,No,---
Cataluña,Lleida,Pública,Universidad de Lleida,Presencial,Escuela Politécnica Superior,Grado en Ingeniería de la Energía y Sostenibilidad,No,---
Comunidad de Madrid,Madrid,Pública,Universidad Rey Juan Carlos,Presencial,Facultad de Ciencias Jurídicas y Políticas. Campus de Aranjuez,Grado en Relaciones Laborales y Recursos Humanos,No,---
Comunidad de Madrid,Madrid,Pública,Universidad Rey Juan Carlos,Presencial,Escuela de Ingeniería de Fuenlabrada,Grado en Paisajismo,No,---
Comunidad de Madrid,Madrid,Pública,Universidad Rey Juan Carlos,Presencial,Facultad de Ciencias de la Salud. Campus de Aranjuez,Grado en Psicología,No,---
Cataluña,Barcelona,Pública,Universidad Autónoma de Barcelona,Presencial,Facultad de Filosofía y Letras,Grado en Estudios de Inglés y Catalán,Sí,---
Comunidad de Madrid,Madrid,Pública,Universidad Nacional de Educación a Distancia,Semi/No Presencial,Facultad de Derecho,Grado en Criminología,No,---
Comunidad de Madrid,Madrid,Pública,Universidad Nacional de Educación a Distancia,Semi/No Presencial,Facultad de Ciencias Económicas y Empresariales,Grado en Turismo,No,---
Cataluña,Barcelona,Pública,Universidad Politécnica de Catalunya,Presencial,"Escuela Superior de Ingenierías Industrial, Aeroespacial y Audiovisual de Terrassa",Grado en Ingeniería de Tecnología y Diseño Textil,No,---
Cataluña,Barcelona,Pública,Universidad Pompeu Fabra,Presencial,Facultad de Derecho,Grado en Periodismo,No,---
Cataluña,Barcelona,Pública,Universidad Pompeu Fabra,Presencial,Facultad de Economía y Empresa,Grado en Periodismo,No,---
Cataluña,Barcelona,Pública,Universidad Pompeu Fabra,Presencial,Facultad de Humanidades,Grado en Periodismo,No,---
Cataluña,Barcelona,Pública,Universidad Pompeu Fabra,Presencial,Facultad de Ciencias Políticas y Sociales,Grado en Periodismo,No,---
Región de Murcia,Murcia,Pública,Universidad Politécnica de Cartagena,Presencial,"Escuela Técnica Superior de Ingeniería de Caminos, Canales y Puertos e Ingeniería de Minas",Grado en Ingeniería Civil,No,---
Galicia,A Coruña,Pública,Universidad de Santiago de Compostela,Presencial,Facultad de Biología,Grado en Biología,No,---
Galicia,Lugo,Pública,Universidad de Santiago de Compostela,Varias modalidades,Facultad de Administración y Dirección de Empresas,Grado en Empresa y Tecnología,No,---
Comunidad de Madrid,Madrid,Pública,Universidad Complutense de Madrid,Presencial,Centro de Estudios Superiores Felipe II,Grado en Comunicación Audiovisual,No,---
Comunidad de Madrid,Madrid,Pública,Universidad Complutense de Madrid,Presencial,Centro de Enseñanza Superior Villanueva,Grado en Comunicación Audiovisual,No,---
Canarias,Las Palmas,Pública,Universidad de Las Palmas de Gran Canaria,Varias modalidades,Estructura Teleformación ULPGC,Grado en Turismo,No,---
Andalucía,Sevilla,Pública,Universidad de Sevilla,Presencial,Centro de Estudios Universitarios Cardenal Spínola,Grado en Educación Infantil,No,---
Andalucía,Sevilla,Pública,Universidad de Sevilla,Presencial,Centro de Estudios Universitarios Cardenal Spínola,Grado en Derecho,No,---
Canarias,Santa Cruz,Pública,Universidad de La Laguna,Presencial,Escuela Universitaria de Estudios Empresariales,Grado en Contabilidad y Finanzas,No,---
Castilla y León,Burgos,Pública,Universidad de Burgos,Presencial,Facultad de Ciencias de la Salud,Grado en Terapia Ocupacional,No,---
Galicia,A Coruña,Pública,Universidad de A Coruña,Presencial,Escuela Técnica Superior de Náutica y Máquinas,Grado en Máquinas Navales,No,---
Galicia,A Coruña,Pública,Universidad de A Coruña,Presencial,Escuela Técnica Superior de Arquitectura,Grado en Paisaje,No,---
Castilla y León,León,Pública,Universidad de León,Presencial,Escuela de Ingeniería Agraria y Forestal. Extensión Ponferrada,Grado en Ingeniería Agroalimentaria,No,---
Comunidad de Madrid,Madrid,Pública,Universidad de Alcalá,Presencial,Escuela Politécnica Superior,Grado en Ingeniería en Sistemas de Telecomunicación,Sí,---
Comunidad de Madrid,Madrid,Pública,Universidad Complutense de Madrid,Presencial,Facultad de Ciencias Matemáticas,Grado en Matemáticas y Estadística,No,---
Comunidad de Madrid,Madrid,Pública,Universidad Nacional de Educación a Distancia,Semi/No Presencial,Escuela Técnica Superior de Ingenieros Industriales,Grado en Ingeniería en Tecnologías Industriales,No,---
Comunidad de Madrid,Madrid,Pública,Universidad Nacional de Educación a Distancia,Semi/No Presencial,Facultad de Educación,Grado en Pedagogía,No,---
Comunidad de Madrid,Madrid,Pública,Universidad Nacional de Educación a Distancia,Semi/No Presencial,Facultad de Ciencias Políticas y Sociología,Grado en Sociología,No,---
Comunidad de Madrid,Madrid,Pública,Universidad Nacional de Educación a Distancia,Semi/No Presencial,Facultad de Derecho,Grado en Ciencias Jurídicas de las Administraciones Públicas,No,---
Comunidad de Madrid,Madrid,Pública,Universidad Nacional de Educación a Distancia,Semi/No Presencial,Facultad de Filosofía,Grado en Antropología Social y Cultural,No,---
Comunidad de Madrid,Madrid,Pública,Universidad Nacional de Educación a Distancia,Semi/No Presencial,Facultad de Ciencias Económicas y Empresariales,Grado en Administración y Dirección de Empresas,No,---
